Art,Rahmen,Gesamtmenge,Dauer
Frühstück,Arbeit,wenig,30
Mittagessen,Imbiss,mittel,25
Snack,Daheim,viel,10
Snack,Imbiss,mittel,10
Abendessen,Daheim,viel,30
Snack,Daheim,wenig,5
Frühstück,Daheim,mittel,45
Mittagessen,Arbeit,wenig,30
Snack,Imbiss,mittel,5
Abendessen,Daheim,viel,30
Frühstück,Daheim,mittel,40
Mittagessen,Arbeit,viel,45
Snack,Imbiss,mittel,20
Abendessen,Daheim,viel,30
Frühstück,Daheim,mittel,20
Frühstück,Daheim,mittel,20
Frühstück,Daheim,wenig,25
Frühstück,Daheim,viel,45
Abendessen,Daheim,viel,30
Abendessen,Daheim,wenig,15
Abendessen,Daheim,viel,45
Snack,Imbiss,mittel,5
Snack,Daheim,wenig,5
Snack,Daheim,wenig,5
Snack,Arbeit,mittel,10
Mittagessen,Arbeit,viel,30
Mittagessen,Daheim,wenig,20
Mittagessen,Daheim,viel,30
Mittagessen,Arbeit,wenig,15
Snack,Arbeit,mittel,30
Snack,Imbiss,viel,5
Snack,Daheim,wenig,30
Snack,Daheim,mittel,40
Mittagessen,Arbeit,wenig,45
Mittagessen,Imbiss,mittel,20
Mittagessen,Daheim,viel,30
Mittagessen,Daheim,mittel,20
